YEAR, QUARTER, ID, INDUSTRY, PCE10,date
1968, 4, 1, #N/A, #N/A,1968-10-01
1968, 4, 2, #N/A, #N/A,1968-10-01
1968, 4, 3, #N/A, #N/A,1968-10-01
1968, 4, 4, #N/A, #N/A,1968-10-01
1968, 4, 5, #N/A, #N/A,1968-10-01
1968, 4, 6, #N/A, #N/A,1968-10-01
1968, 4, 7, #N/A, #N/A,1968-10-01
1968, 4, 8, #N/A, #N/A,1968-10-01
1968, 4, 9, #N/A, #N/A,1968-10-01
1968, 4, 10, #N/A, #N/A,1968-10-01
1968, 4, 11, #N/A, #N/A,1968-10-01
1968, 4, 12, #N/A, #N/A,1968-10-01
1968, 4, 13, #N/A, #N/A,1968-10-01
1968, 4, 14, #N/A, #N/A,1968-10-01
1968, 4, 15, #N/A, #N/A,1968-10-01
1968, 4, 16, #N/A, #N/A,1968-10-01
1968, 4, 17, #N/A, #N/A,1968-10-01
1968, 4, 18, #N/A, #N/A,1968-10-01
1968, 4, 19, #N/A, #N/A,1968-10-01
1968, 4, 20, #N/A, #N/A,1968-10-01
1968, 4, 21, #N/A, #N/A,1968-10-01
1968, 4, 22, #N/A, #N/A,1968-10-01
1968, 4, 23, #N/A, #N/A,1968-10-01
1968, 4, 24, #N/A, #N/A,1968-10-01
1968, 4, 25, #N/A, #N/A,1968-10-01
1968, 4, 26, #N/A, #N/A,1968-10-01
1968, 4, 27, #N/A, #N/A,1968-10-01
1968, 4, 29, #N/A, #N/A,1968-10-01
1968, 4, 30, #N/A, #N/A,1968-10-01
1968, 4, 31, #N/A, #N/A,1968-10-01
1968, 4, 32, #N/A, #N/A,1968-10-01
1968, 4, 33, #N/A, #N/A,1968-10-01
1968, 4, 34, #N/A, #N/A,1968-10-01
1968, 4, 35, #N/A, #N/A,1968-10-01
1968, 4, 36, #N/A, #N/A,1968-10-01
1968, 4, 37, #N/A, #N/A,1968-10-01
1968, 4, 38, #N/A, #N/A,1968-10-01
1968, 4, 39, #N/A, #N/A,1968-10-01
1968, 4, 40, #N/A, #N/A,1968-10-01
1968, 4, 41, #N/A, #N/A,1968-10-01
1968, 4, 42, #N/A, #N/A,1968-10-01
1968, 4, 43, #N/A, #N/A,1968-10-01
1968, 4, 45, #N/A, #N/A,1968-10-01
1968, 4, 46, #N/A, #N/A,1968-10-01
1968, 4, 47, #N/A, #N/A,1968-10-01
1968, 4, 48, #N/A, #N/A,1968-10-01
1968, 4, 49, #N/A, #N/A,1968-10-01
1968, 4, 50, #N/A, #N/A,1968-10-01
1968, 4, 51, #N/A, #N/A,1968-10-01
1968, 4, 52, #N/A, #N/A,1968-10-01
1968, 4, 53, #N/A, #N/A,1968-10-01
1968, 4, 54, #N/A, #N/A,1968-10-01
1968, 4, 55, #N/A, #N/A,1968-10-01
1968, 4, 56, #N/A, #N/A,1968-10-01
1968, 4, 57, #N/A, #N/A,1968-10-01
1968, 4, 58, #N/A, #N/A,1968-10-01
1968, 4, 59, #N/A, #N/A,1968-10-01
1968, 4, 60, #N/A, #N/A,1968-10-01
1968, 4, 61, #N/A, #N/A,1968-10-01
1968, 4, 62, #N/A, #N/A,1968-10-01
1968, 4, 63, #N/A, #N/A,1968-10-01
1968, 4, 64, #N/A, #N/A,1968-10-01
1968, 4, 65, #N/A, #N/A,1968-10-01
1968, 4, 66, #N/A, #N/A,1968-10-01
1968, 4, 67, #N/A, #N/A,1968-10-01
1968, 4, 68, #N/A, #N/A,1968-10-01
1968, 4, 69, #N/A, #N/A,1968-10-01
1968, 4, 70, #N/A, #N/A,1968-10-01
1968, 4, 71, #N/A, #N/A,1968-10-01
1968, 4, 72, #N/A, #N/A,1968-10-01
1968, 4, 73, #N/A, #N/A,1968-10-01
1968, 4, 74, #N/A, #N/A,1968-10-01
1968, 4, 75, #N/A, #N/A,1968-10-01
1968, 4, 76, #N/A, #N/A,1968-10-01
1968, 4, 77, #N/A, #N/A,1968-10-01
1968, 4, 78, #N/A, #N/A,1968-10-01
1968, 4, 79, #N/A, #N/A,1968-10-01
1968, 4, 80, #N/A, #N/A,1968-10-01
1968, 4, 81, #N/A, #N/A,1968-10-01
1968, 4, 82, #N/A, #N/A,1968-10-01
1968, 4, 83, #N/A, #N/A,1968-10-01
1968, 4, 84, #N/A, #N/A,1968-10-01
1968, 4, 85, #N/A, #N/A,1968-10-01
1968, 4, 86, #N/A, #N/A,1968-10-01
1968, 4, 87, #N/A, #N/A,1968-10-01
1968, 4, 88, #N/A, #N/A,1968-10-01
1968, 4, 89, #N/A, #N/A,1968-10-01
1969, 1, 2, #N/A, #N/A,1969-01-01
1969, 1, 3, #N/A, #N/A,1969-01-01
1969, 1, 4, #N/A, #N/A,1969-01-01
1969, 1, 6, #N/A, #N/A,1969-01-01
1969, 1, 7, #N/A, #N/A,1969-01-01
1969, 1, 8, #N/A, #N/A,1969-01-01
1969, 1, 9, #N/A, #N/A,1969-01-01
1969, 1, 10, #N/A, #N/A,1969-01-01
